OtherArea,Group,Variable,Year,PortugueseCommonName,Taxon,CatchAmount (tonnes),Sector
Rio de Janeiro,Moluscos,Lula_art,1950,Lula,Doryteuthis spp,"29,28106112","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1951,Lula,Doryteuthis spp,"33,24058559","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1952,Lula,Doryteuthis spp,"36,42213134","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1953,Lula,Doryteuthis spp,"35,57331435","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1954,Lula,Doryteuthis spp,"31,15549228","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1955,Lula,Doryteuthis spp,"26,00003194","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1956,Lula,Doryteuthis spp,"29,53883856","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1957,Lula,Doryteuthis spp,"41,19800568","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1958,Lula,Doryteuthis spp,"26,8253901","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1959,Lula,Doryteuthis spp,"13,21279866","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1960,Lula,Doryteuthis spp,"23,18566698","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1961,Lula,Doryteuthis spp,"17,97089052","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1962,Lula,Doryteuthis spp,"27,008955","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1963,Lula,Doryteuthis spp,"55,37852859","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1964,Lula,Doryteuthis spp,"65,56111908","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1965,Lula,Doryteuthis spp,"153,795105","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1966,Lula,Doryteuthis spp,"19,13275337","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1967,Lula,Doryteuthis spp,"63,37226105","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1968,Lula,Doryteuthis spp,"541,5233154","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1969,Lula,Doryteuthis spp,"60,97123337","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1970,Lula,Doryteuthis spp,"138,8820801","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1971,Lula,Doryteuthis spp,"68,55641937","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1972,Lula,Doryteuthis spp,"128,9487915","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1973,Lula,Doryteuthis spp,"292,8038635","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1974,Lula,Doryteuthis spp,"409,5730896","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1975,Lula,Doryteuthis spp,"143,930481","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1976,Lula,Doryteuthis spp,"64,89678955","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1977,Lula,Doryteuthis spp,"192,4101868","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1978,Lula,Doryteuthis spp,106,"Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1979,Lula,Doryteuthis spp,175,"Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1980,Lula,Doryteuthis spp,335,"Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1981,Lula,Doryteuthis spp,373,"Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1982,Lula,Doryteuthis spp,127,"Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1983,Lula,Doryteuthis spp,140,"Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1984,Lula,Doryteuthis spp,209,"Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1985,Lula,Doryteuthis spp,176,"Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1986,Lula,Doryteuthis spp,"115,02","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1987,Lula,Doryteuthis spp,"200,76","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1988,Lula,Doryteuthis spp,"114,63","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1989,Lula,Doryteuthis spp,"149,54","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1990,Lula,Doryteuthis spp,"146,046875","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1991,Lula,Doryteuthis spp,"180,5733643","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1992,Lula,Doryteuthis spp,"234,4833374","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1993,Lula,Doryteuthis spp,"288,3885498","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1994,Lula,Doryteuthis spp,"342,0581055","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1995,Lula,Doryteuthis spp,"389,5","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1996,Lula,Doryteuthis spp,"36,5","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1997,Lula,Doryteuthis spp,104,"Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1998,Lula,Doryteuthis spp,"12,5","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,1999,Lula,Doryteuthis spp,"127,5","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2000,Lula,Doryteuthis spp,14,"Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2001,Lula,Doryteuthis spp,"184,5","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2002,Lula,Doryteuthis spp,"88,5","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2003,Lula,Doryteuthis spp,"86,5","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2004,Lula,Doryteuthis spp,101,"Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2005,Lula,Doryteuthis spp,"106,5","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2006,Lula,Doryteuthis spp,"122,5","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2007,Lula,Doryteuthis spp,"72,5","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2008,Lula,Doryteuthis spp,"17,56","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2009,Lula,Doryteuthis spp,"34,5302","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2010,Lula,Doryteuthis spp,"10,68","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2011,Lula,Doryteuthis spp,"20,593","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2012,Lula,Doryteuthis spp,"8,878","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2013,Lula,Doryteuthis spp,"9,596","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2014,Lula,Doryteuthis spp,"209,839","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2015,Lula,Doryteuthis spp,"2,517","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2016,Lula,Doryteuthis spp,"52,59","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2017,Lula,Doryteuthis spp,"56,96003","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2018,Lula,Doryteuthis spp,"33,9034","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2019,Lula,Doryteuthis spp,"41,9636","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2020,Lula,Doryteuthis spp,"29,4221","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2021,Lula,Doryteuthis spp,"56,82","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_art,2022,Lula,Doryteuthis spp,"63,4343","Artisanal (SS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1962,Lula,Doryteuthis spp,"1,821044998","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1963,Lula,Doryteuthis spp,"4,161471405","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1964,Lula,Doryteuthis spp,"5,43888092","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1965,Lula,Doryteuthis spp,"13,90257502","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1966,Lula,Doryteuthis spp,"1,867246628","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1967,Lula,Doryteuthis spp,"6,627738953","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1968,Lula,Doryteuthis spp,"60,47668457","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1969,Lula,Doryteuthis spp,"7,252652824","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1970,Lula,Doryteuthis spp,"17,54117584","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1971,Lula,Doryteuthis spp,"9,166053355","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1972,Lula,Doryteuthis spp,"18,20191437","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1973,Lula,Doryteuthis spp,"43,45143938","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1974,Lula,Doryteuthis spp,"62,60517502","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1975,Lula,Doryteuthis spp,"22,56117845","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1976,Lula,Doryteuthis spp,"10,29581547","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1977,Lula,Doryteuthis spp,"30,65132308","Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1978,Lula,Doryteuthis spp,20,"Industrial (LS, C)"
Rio de Janeiro,Moluscos,Lula_ind,1979,Lula,Doryteuthis spp,129,"Industrial (LS, C)"
